epoch,accuracy,loss,val_accuracy,val_loss
0,0.3692222535610199,1.3327326774597168,0.4438040256500244,1.2708544731140137
1,0.6382507681846619,1.0050379037857056,0.6685879230499268,0.8950480222702026
2,0.7863271236419678,0.5881346464157104,0.6714697480201721,0.807586133480072
3,0.8488790392875671,0.4108264744281769,0.6887608170509338,0.7833590507507324
4,0.8881815671920776,0.32128098607063293,0.6858789920806885,0.8687954545021057
5,0.9086631536483765,0.2622867822647095,0.7060518860816956,0.891545295715332
6,0.9302518963813782,0.22120718657970428,0.6628242135047913,0.9640138149261475
7,0.9460282325744629,0.180133655667305,0.6685879230499268,1.0117847919464111
8,0.9535012245178223,0.15716490149497986,0.6829971075057983,1.0532169342041016
9,0.9582064747810364,0.13630397617816925,0.680115282535553,1.1207021474838257
10,0.9640188217163086,0.12069426476955414,0.6685879230499268,1.178473711013794
11,0.9673401713371277,0.11157384514808655,0.6829971075057983,1.195838212966919
12,0.9665098190307617,0.10743787884712219,0.6657060384750366,1.2954736948013306
13,0.9698311686515808,0.09837380051612854,0.6858789920806885,1.2886133193969727
14,0.9712150692939758,0.09021947532892227,0.6829971075057983,1.2932777404785156
15,0.972875714302063,0.08658498525619507,0.651296854019165,1.3849445581436157
16,0.974259614944458,0.08340974152088165,0.651296854019165,1.4029325246810913
17,0.9759202599525452,0.07687214016914368,0.6570605039596558,1.4780473709106445
18,0.973429262638092,0.07918737828731537,0.6455331444740295,1.4712834358215332
19,0.9745364189147949,0.0743463784456253,0.6858789920806885,1.4770867824554443
20,0.975089967250824,0.06827837973833084,0.651296854019165,1.5722061395645142
21,0.9795184135437012,0.06333223730325699,0.6685879230499268,1.5656191110610962
22,0.977027416229248,0.06566064804792404,0.6714697480201721,1.5502398014068604
23,0.9786880612373352,0.06877763569355011,0.6714697480201721,1.558668851852417
24,0.9753667116165161,0.06263382732868195,0.651296854019165,1.5867911577224731
